date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V,implied_sigma_V,cca_converged
2020-04-19,South Africa,392.27,0.011,195.551635,115.86595086460915,0.2196674203087658,300.8781256589704,0.08493066794261049,True
2020-04-26,South Africa,415.3101,0.011,195.551635,114.47207475821288,0.21875385484062113,299.4865139026359,0.08394403079432114,True
2020-05-03,South Africa,427.8401,0.0062,191.103067,114.37668102027357,0.21874694776410472,299.5740174988151,0.08384779503011933,True
2020-05-10,South Africa,404.1699,0.0062,191.103067,117.25976515849466,0.21971666861979539,302.45531528834147,0.08551801470948772,True
2020-05-17,South Africa,398.8,0.0062,191.103067,115.88276972396594,0.21911200739061198,301.079619511116,0.08466551721385089,True
2020-05-24,South Africa,354.0701,0.0062,191.103067,122.27288905098841,0.22533042989406296,307.4515624120523,0.0900125588980509,True
2020-05-31,South Africa,344.1101,0.0064,191.288424,120.21835187302682,0.22533106429598335,305.3902946340839,0.08910836798658857,True
2020-06-07,South Africa,253.95,0.0064,191.288424,125.00683506269667,0.2265864449656772,310.17659021342587,0.0917275085226737,True
2020-06-14,South Africa,290.6001,0.0064,191.288424,123.6145888496831,0.22700406997650818,308.7819760818631,0.09129650082496778,True
2020-06-21,South Africa,274.95,0.0064,191.288424,121.75826054375936,0.22527669107505352,306.93121094522286,0.08976619926996895,True
2020-06-28,South Africa,304.2644,0.0064,191.288424,122.39109974634934,0.2228134771458814,307.57316498165426,0.08902557566311772,True
2020-07-05,South Africa,287.79,0.0066,191.473781,135.45316714855483,0.23879535764823467,320.5690838560337,0.10147928306388457,True
2020-07-12,South Africa,313.3101,0.0066,191.473781,137.3888708414188,0.23882836405479155,322.5060668915254,0.1023128743137183,True
2020-07-19,South Africa,322.6201,0.0066,191.473781,138.1032376732838,0.23884322337802855,323.22089272248206,0.10261927665340481,True
2020-07-26,South Africa,291.3799,0.0066,191.473781,138.54107535452874,0.23717277356734456,323.66746242258,0.10205366532488533,True
2020-08-02,South Africa,306.625,0.0069,191.7518165,136.80375744055593,0.23497954820758227,321.93036181862954,0.10035736171478575,True
2020-08-09,South Africa,308.6899,0.0069,191.7518165,132.3907330069896,0.23517056612722534,317.51342773356293,0.09858101846208936,True
2020-08-16,South Africa,296.26,0.0069,191.7518165,134.28202916017318,0.2353365077680801,319.4052314515242,0.099457926985508,True
2020-08-23,South Africa,293.9199,0.0069,191.7518165,136.10327737622728,0.23554256120686853,321.22675655048926,0.10031488978721793,True
2020-08-30,South Africa,286.54,0.0069,191.7518165,140.72644583924685,0.23726855951656228,325.8448754830314,0.10300010359058742,True
2020-09-06,South Africa,283.28,0.0056,190.546996,142.37096369420462,0.23644600491855572,327.5309720081598,0.1032852791149537,True
2020-09-13,South Africa,284.6899,0.0056,190.546996,141.259244906393,0.23642540552196342,326.4185681509103,0.10282536837068662,True
2020-09-20,South Africa,275.0,0.0056,190.546996,144.8545907629216,0.23574914075236816,330.0195919520647,0.10396215492518317,True
2020-09-27,South Africa,322.8201,0.0056,190.546996,138.08966372982752,0.2407155992709659,323.22478811478254,0.10344441721402185,True
2020-10-04,South Africa,312.51,0.0068,191.65913799999998,153.6929308591037,0.2464460325181098,338.7751921558624,0.11245400638682373,True
2020-10-11,South Africa,275.3999,0.0068,191.65913799999998,154.4304941412489,0.24614288832991837,339.515206661085,0.11259807693807773,True
2020-10-18,South Africa,275.8999,0.0068,191.65913799999998,153.54033156709687,0.24631753471409717,338.6232210557706,0.11233293589101652,True
2020-10-25,South Africa,264.8301,0.0068,191.65913799999998,156.99924909352688,0.24692499656868488,342.0816178374881,0.11396925365700873,True
2020-11-01,South Africa,276.1299,0.0068,191.65913799999998,154.84993006158328,0.2437048230058477,339.94891173905796,0.11159803816804596,True
2020-11-08,South Africa,247.9,0.0068,191.65913799999998,161.29152616198618,0.2463085917751017,346.3813201053733,0.11530297251674052,True
2020-11-15,South Africa,223.02,0.0068,191.65913799999998,162.4238379158963,0.24626694699790266,347.5148631797335,0.11570599163924494,True
