date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,convenience_yield,implied_V,implied_sigma_V,cca_converged
2019-04-14,China,43.17999,0.0276,2232.257556,5182.174291068643,0.1036196160353208,0.07391256133265076,7526.199584954298,0.07534701809201874,True
2019-04-21,China,41.01999,0.0276,2232.257556,5182.174291068643,0.10353502238680203,0.06673727900363532,7485.789451812694,0.07528550580883055,True
2019-04-28,China,42.7,0.0276,2232.257556,5162.371130864928,0.10342366569611752,0.09197191463397852,7607.334586752002,0.07512590088684618,True
2019-05-05,China,41.95999,0.0249,2205.776469,5233.541969521847,0.10393898985406551,0.09850209808404803,7724.86875986702,0.07575003552539916,True
2019-05-12,China,46.81,0.0249,2205.776469,5164.81406282525,0.1048865752398768,0.11000779474284952,7717.315765797963,0.07616575222298629,True
2019-05-19,China,49.5,0.0249,2205.776469,5094.32390257614,0.10560266098101535,0.10719315067443261,7624.810903022161,0.07639629227294722,True
2019-05-26,China,53.09,0.0249,2205.776469,5107.7170326903515,0.10558194927532236,0.07153236414007352,7437.209825752237,0.07643674071790449,True
2019-06-02,China,59.70999,0.0252,2208.718812,5072.321748068508,0.10323013301688612,0.06975524168662323,7389.804983311058,0.07459390201090313,True
2019-06-09,China,55.7,0.0252,2208.718812,5068.819247121748,0.1032423736262875,0.08624031935297971,7477.903145189064,0.07458844980587391,True
2019-06-16,China,51.50999,0.0252,2208.718812,5057.260994917926,0.10310847882263388,0.08196817364691941,7441.713837626903,0.07444449517612758,True
2019-06-23,China,43.84,0.0252,2208.718812,5098.240254698138,0.1026554660030138,0.061918795057109385,7373.368058515409,0.07428340758054754,True
2019-06-30,China,44.76999,0.0207,2164.583667,5212.37953353398,0.10320298975483111,0.057039158930500336,7470.412218927683,0.07508698850579797,True
2019-07-07,China,41.73999,0.0207,2164.583667,5363.324978911641,0.10624683923348548,0.06701408482691619,7685.218877436642,0.07789887045590217,True
2019-07-14,China,42.82999,0.0207,2164.583667,5373.307728804273,0.10577685338177874,0.07708332924646688,7754.080916452448,0.07759274495722653,True
2019-07-21,China,42.75,0.0207,2164.583667,5372.198534659884,0.1047777406563906,0.0582578029307769,7644.098572559236,0.07685561645488376,True
2019-07-28,China,40.07999,0.0207,2164.583667,5374.786654961384,0.10437903063784872,0.06165313346215172,7666.337464513129,0.07657298433744832,True
2019-08-04,China,46.73999,0.0203,2160.660543,5334.078871738011,0.10480221597825042,0.06615863994940907,7649.9492327933685,0.07672362397683766,True
2019-08-11,China,51.23,0.0203,2160.660543,5242.265187472461,0.10666838264175857,0.04967553708975646,7460.661475192756,0.07772509182097931,True
2019-08-18,China,53.01999,0.0203,2160.660543,5256.703630281674,0.10641393144105396,0.059271543996439975,7529.593490164713,0.07759751497329502,True
2019-08-25,China,46.84,0.0203,2160.660543,5217.090468195706,0.10664444795806985,0.07209263455557482,7560.5642681297895,0.07760603978654022,True
2019-09-01,China,46.73,0.019,2147.91039,5207.422701663724,0.10614533696387887,0.05925040262129737,7479.258972457414,0.07719156270445189,True
2019-09-08,China,41.43999,0.019,2147.91039,5237.236901489218,0.1060883636378157,0.08510988026157144,7657.188863086632,0.07727011798031568,True
2019-09-15,China,39.29999,0.019,2147.91039,5264.442358992898,0.10590244378421315,0.12220026344301889,7902.369205948506,0.07724313556780034,True
2019-09-22,China,45.40999,0.019,2147.91039,5255.125421592341,0.10600293865373775,0.09865452398014055,7753.761255514739,0.07727935678141487,True
2019-09-29,China,47.89,0.019,2147.91039,5232.392093443128,0.10592897595663255,0.09897428060649914,7731.174632869284,0.07713462591359692,True
2019-10-06,China,49.32999,0.015,2108.67915,5495.745812248325,0.10622363006203644,0.07740620452244767,7888.959929878114,0.07833782014677577,True
2019-10-13,China,46.03999,0.015,2108.67915,5542.49638428468,0.10583739977334664,0.046732270984979146,7757.5045125655315,0.07822620211092526,True
2019-10-20,China,42.00999,0.015,2108.67915,5547.603589801224,0.10577992119414559,0.05516883590728912,7812.0288950270615,0.07820250084759703,True
2019-10-27,China,40.21999,0.015,2108.67915,5560.568034280151,0.10565905455535313,0.06726444777288984,7896.842630567923,0.07816065354188542,True
2019-11-03,China,40.92999,0.0165,2123.390865,5536.710689634037,0.10523536806420951,0.09177322327450109,8016.404740503684,0.07777114526892288,True
2019-11-10,China,37.28999,0.0165,2123.390865,5569.440014497985,0.10447006108745384,0.08900873944441631,8034.808551362033,0.07732415687033825,True
2019-11-17,China,39.28999,0.0165,2123.390865,5559.699143454417,0.10459778946849954,0.08300281035857601,7988.460056153193,0.07738346626139345,True
2019-11-24,China,40.84999,0.0165,2123.390865,5534.762515976655,0.10478511109674737,0.09062007656638564,8007.559710737233,0.07743128295594186,True
2019-12-01,China,39.60999,0.0173,2131.2371129999997,5522.329737169987,0.10465322115633488,0.08976257888262457,7988.530468276299,0.07729469718166146,True
2019-12-08,China,39.71999,0.0173,2131.2371129999997,5520.38798990783,0.10432115856522924,0.0994671158405767,8044.989255785779,0.07704235841219757,True
2019-12-15,China,36.09,0.0173,2131.2371129999997,5556.116142794624,0.10407059612206464,0.1037441345336172,8109.660788518389,0.07698676703680678,True
2019-12-22,China,33.14,0.0173,2131.2371129999997,5542.523911320336,0.10418378550793594,0.10756194047063299,8119.10953465999,0.07702134350300471,True
2019-12-29,China,32.2,0.0173,2131.2371129999997,5551.06760011396,0.10419513837836085,0.12314796387610588,8226.558986739728,0.07706065868565325,True
2020-01-05,China,33.37999,0.0183,2307.607823,5676.031144411329,0.10212446923461375,0.12480299592949196,8540.471680699062,0.07448878702317352,True
