date;N10D;GPRD;GPRD_ACT;GPRD_THREAT
19.06.1986;461;50.30;28.65;71.70
20.06.1986;466;142.17;155.91;141.86
21.06.1986;294;135.21;112.33;168.64
22.06.1986;432;38.34;61.16;12.75
23.06.1986;346;86.17;57.27;111.45
24.06.1986;370;80.58;89.25;74.45
25.06.1986;442;119.91;164.37;87.25
26.06.1986;435;114.23;106.28;126.64
27.06.1986;482;123.71;82.22;148.58
28.06.1986;301;88.04;65.83;91.51
29.06.1986;486;81.79;122.31;56.68
30.06.1986;355;93.31;0.00;155.18
01.07.1986;370;89.53;53.55;119.11
02.07.1986;399;66.42;49.66;69.04
03.07.1986;433;84.15;45.76;101.78
04.07.1986;309;75.04;85.50;53.49
05.07.1986;278;71.49;71.27;59.45
06.07.1986;409;80.99;64.59;80.82
07.07.1986;335;108.77;138.01;65.78
08.07.1986;358;101.78;55.35;123.11
09.07.1986;371;151.79;231.43;74.25
10.07.1986;424;117.19;93.46;142.92
11.07.1986;395;67.09;50.16;97.63
12.07.1986;286;81.08;115.47;57.79
13.07.1986;429;100.38;107.77;89.89
14.07.1986;329;130.89;120.45;150.70
15.07.1986;373;133.21;159.36;118.16
16.07.1986;401;82.61;49.41;96.17
17.07.1986;398;141.49;33.19;207.63
18.07.1986;425;77.94;31.08;103.70
19.07.1986;289;137.55;159.98;114.37
20.07.1986;422;102.05;125.21;91.38
21.07.1986;346;95.74;76.36;111.45
22.07.1986;372;71.24;35.51;88.85
23.07.1986;409;105.29;96.89;121.23
24.07.1986;409;97.19;113.04;107.76
25.07.1986;428;38.70;30.86;38.61
26.07.1986;300;88.34;88.06;73.45
27.07.1986;454;43.78;72.74;36.40
28.07.1986;343;96.58;134.79;64.24
29.07.1986;363;109.51;54.58;151.76
30.07.1986;415;95.79;47.75;132.75
31.07.1986;381;104.33;52.01;130.13
01.08.1986;428;77.40;30.86;102.97
02.08.1986;283;105.35;70.01;116.80
03.08.1986;444;96.99;148.76;49.63
04.08.1986;339;146.57;116.90;146.26
05.08.1986;348;66.63;94.90;31.66
06.08.1986;399;124.53;66.21;165.68
07.08.1986;413;80.21;47.98;93.37
08.08.1986;414;48.01;31.91;66.53
09.08.1986;278;178.74;142.55;217.98
10.08.1986;458;115.72;129.79;108.26
11.08.1986;334;158.69;197.75;115.46
12.08.1986;383;190.28;206.94;215.76
13.08.1986;392;202.81;252.73;154.59
14.08.1986;413;144.37;79.96;186.75
15.08.1986;450;88.34;58.71;134.66
16.08.1986;286;46.33;23.09;57.79
17.08.1986;459;57.74;57.56;48.01
